"","Genus","Species","LifeStage","taxon"
"63","Picripleuroxus",NA,"Adult","Picripleuroxus NA Adult"
"64","Microcyclops","rubellus","Adult","Microcyclops rubellus Adult"
"65","Paracyclops",NA,"Adult","Paracyclops NA Adult"
"66","Collotheca",NA,"Adult","Collotheca NA Adult"
"67","Mytilina",NA,"Adult","Mytilina NA Adult"
"68","Formicidae",NA,NA,"Formicidae NA NA"
"69","Monospilus",NA,"Adult","Monospilus NA Adult"
"70","Hesperodiaptomus","franciscanus","Adult","Hesperodiaptomus franciscanus Adult"
"71","Wolga",NA,"Adult","Wolga NA Adult"
"72","Alonella",NA,"Adult","Alonella NA Adult"
"73","Curculionidae",NA,NA,"Curculionidae NA NA"
"74","Moina",NA,"Adult","Moina NA Adult"
"75","Asplanchna",NA,"Adult","Asplanchna NA Adult"
"76","Notommata",NA,"Adult","Notommata NA Adult"
"77","Unidentified",NA,NA,"Unidentified NA NA"
"78","Veliger",NA,NA,"Veliger NA NA"
"79","Diptera",NA,NA,"Diptera NA NA"
"80","Eurytemora","affinis","Adult","Eurytemora affinis Adult"
"81","Gastropoda",NA,NA,"Gastropoda NA NA"
"82","Araneae",NA,NA,"Araneae NA NA"
"83","Physidae",NA,NA,"Physidae NA NA"
"84","Skistodiaptomus","pallidus","Adult","Skistodiaptomus pallidus Adult"
"85","Planorbidae",NA,NA,"Planorbidae NA NA"
"86","Limnoithona","tetraspina","Adult","Limnoithona tetraspina Adult"
"87","Coenagrionidae",NA,NA,"Coenagrionidae NA NA"
"88","Anuraeopsis",NA,"Adult","Anuraeopsis NA Adult"
"89","Hymenoptera",NA,NA,"Hymenoptera NA NA"
"90","Aphididae",NA,NA,"Aphididae NA NA"
"91","Amphipoda",NA,NA,"Amphipoda NA NA"
"92","Sida",NA,"Adult","Sida NA Adult"
"93","Graptoleberis",NA,"Adult","Graptoleberis NA Adult"
"94","Diacyclops","thomasi",NA,"Diacyclops thomasi NA"
"95","Scapholeberis",NA,"Adult","Scapholeberis NA Adult"
"96","Diaphanosoma",NA,"Adult","Diaphanosoma NA Adult"
"97","Thripidae",NA,NA,"Thripidae NA NA"
"98","Ephemeroptera",NA,NA,"Ephemeroptera NA NA"
"99","Trichoptera",NA,NA,"Trichoptera NA NA"
"100","Mesocyclops",NA,"Adult","Mesocyclops NA Adult"
"101","Pleuroxus",NA,"Adult","Pleuroxus NA Adult"
"102","Hemiptera",NA,NA,"Hemiptera NA NA"
"103","Hydroptilidae",NA,NA,"Hydroptilidae NA NA"
"104","Macrocyclops",NA,"Adult","Macrocyclops NA Adult"
"105","Hydrobiidae",NA,NA,"Hydrobiidae NA NA"
"106","Eucyclops","prionophorus","Adult","Eucyclops prionophorus Adult"
"107","Eucyclops","elegans","Adult","Eucyclops elegans Adult"
"108","Ascomorpha",NA,"Adult","Ascomorpha NA Adult"
"109","Ploesoma",NA,"Adult","Ploesoma NA Adult"
"110","Hirudinea",NA,NA,"Hirudinea NA NA"
"111","Sisyridae",NA,NA,"Sisyridae NA NA"
"112","Mysidae",NA,NA,"Mysidae NA NA"
"113","Anchistropus",NA,"Adult","Anchistropus NA Adult"
"114","Gastropus",NA,"Adult","Gastropus NA Adult"
"115","Zygoptera",NA,NA,"Zygoptera NA NA"
"116","Hexarthra",NA,"Adult","Hexarthra NA Adult"
"117","Calanoid",NA,"Adult","Calanoid NA Adult"
"118","Trichocerca",NA,NA,"Trichocerca NA NA"
"119","Trichotria",NA,NA,"Trichotria NA NA"
"120","Dytiscidae",NA,NA,"Dytiscidae NA NA"
"121","Calopterygidae",NA,NA,"Calopterygidae NA NA"
"122","Paracyclops","fimbriatus","Adult","Paracyclops fimbriatus Adult"
"123","Ceratopogonidae",NA,NA,"Ceratopogonidae NA NA"
"124","Corophium",NA,NA,"Corophium NA NA"
"125","Caenidae",NA,NA,"Caenidae NA NA"
"126","Platyhelminthes",NA,NA,"Platyhelminthes NA NA"
"127","Wolga",NA,NA,"Wolga NA NA"
"128","Odonata",NA,NA,"Odonata NA NA"
"129","Arctodiaptomus","dorsalis","Adult","Arctodiaptomus dorsalis Adult"
"130","Daphnia",NA,"Copepodid","Daphnia NA Copepodid"
"131","Cyclopoid",NA,"Adult","Cyclopoid NA Adult"
"132","Bryozoan",NA,NA,"Bryozoan NA NA"
