"","OrganismCode","Taxname","Lifestage","Level","Phylum","Class","Order","Family","Genus","Species"
"44",2805,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"45",2840,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"46",2850,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"47",2870,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"48",2871,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"49",2770,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"50",2790,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"51",2800,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"52",2830,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"53",2005,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"54",2410,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"55",2430,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"56",2450,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"57",2470,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"58",2490,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"59",2010,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"60",2011,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"61",2030,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"62",2050,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"63",2070,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"64",2075,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"65",2080,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"66",2090,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"67",2095,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"68",2650,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"69",2100,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"70",2510,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"71",2530,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"72",2540,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"73",2550,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"74",2570,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"75",2580,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"76",2581,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"77",2104,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"78",2105,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"79",2110,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"80",2120,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"81",2130,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"82",2150,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"83",2170,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"84",2190,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"85",2210,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"86",2590,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"87",2600,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"88",2230,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"89",2250,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"90",2251,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"91",2260,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"92",2610,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"93",2630,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"94",2265,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"95",2270,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"96",2280,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"97",2285,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"98",2290,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"99",2655,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"100",2660,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"101",2670,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"102",2690,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"103",2710,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"104",2720,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"105",2725,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"106",2727,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"107",2300,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"108",2652,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"109",2730,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"110",2310,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"111",2330,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"112",2820,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"113",2810,"Oligochaeta","Undifferentiated","Class","Annelida","Oligochaeta",NA,NA,NA,NA
"114",3180,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"115",3170,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"116",3185,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"117",3190,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"118",3195,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"119",3005,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"120",3008,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"121",3010,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"122",3200,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"123",3030,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"124",3320,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"125",3245,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"126",3391,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"127",3390,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"128",3230,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"129",3210,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"130",3340,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"131",3370,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"132",3330,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"133",3375,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"134",3380,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"135",3305,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"136",3250,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"137",3270,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"138",3240,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"139",3310,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"140",3311,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"141",3280,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"142",3300,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"143",3290,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"144",3301,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"145",3410,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"146",3450,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"147",3430,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"148",3460,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"149",3139,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"150",3138,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"151",3150,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"152",3160,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"153",3140,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"154",3135,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"155",3097,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"156",3098,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"157",3050,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"158",3051,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"159",3060,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"160",3061,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"161",3080,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"162",3130,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"163",3070,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"164",3065,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"165",3090,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"166",3091,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"167",3100,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"168",3095,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"169",3096,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"170",3105,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"171",3110,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"172",3395,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"173",3394,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"174",3400,"Polychaeta","Undifferentiated","Class","Annelida","Polychaeta",NA,NA,NA,NA
"175",6869,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"176",6870,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"177",6895,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"178",6678,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"179",6679,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"180",6680,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"181",6690,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"182",6710,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"183",6670,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"184",6915,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"185",6920,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"186",6715,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"187",6910,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"188",6779,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"189",6778,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"190",6860,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"191",6780,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"192",6782,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"193",6750,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"194",6770,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"195",6740,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"196",6810,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"197",6809,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"198",6825,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"199",6820,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"200",6850,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"201",6830,"Bivalvia","Undifferentiated","Class","Mollusca","Bivalvia",NA,NA,NA,NA
"202",4330,"Asellidae","Adult","Family","Arthropoda","Malacostraca","Isopoda","Asellidae",NA,NA
"203",4335,"Asellidae","Adult","Family","Arthropoda","Malacostraca","Isopoda","Asellidae",NA,NA
"204",4409,"Munnidae","Adult","Family","Arthropoda","Malacostraca","Isopoda","Munnidae",NA,NA
"205",4410,"Munnidae","Adult","Family","Arthropoda","Malacostraca","Isopoda","Munnidae",NA,NA
"206",5160,"Belostomatidae","Adult","Family","Arthropoda","Insecta","Hemiptera","Belostomatidae",NA,NA
"207",5315,"Elmidae","Larva","Family","Arthropoda","Insecta","Coleoptera","Elmidae",NA,NA
"208",5320,"Elmidae","Larva","Family","Arthropoda","Insecta","Coleoptera","Elmidae",NA,NA
"209",5325,"Ptilodactylidae","Adult","Family","Arthropoda","Insecta","Coleoptera","Ptilodactylidae",NA,NA
"210",6000,"Ceratopogonidae","Larva","Family","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,NA
"211",6004,"Ceratopogonidae","Larva","Family","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,NA
"212",6005,"Ceratopogonidae","Larva","Family","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,NA
"213",6010,"Ceratopogonidae","Larva","Family","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,NA
"214",6015,"Ceratopogonidae","Larva","Family","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,NA
"215",6020,"Ceratopogonidae","Larva","Family","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,NA
"216",6019,"Ceratopogonidae","Larva","Family","Arthropoda","Insecta","Diptera","Ceratopogonidae",NA,NA
"217",5450,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"218",5529,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"219",5873,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"220",5875,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"221",5530,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"222",5535,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"223",5540,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"224",5470,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"225",5455,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"226",5880,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"227",5890,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"228",5910,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"229",5911,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"230",5912,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"231",5913,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"232",5914,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"233",5550,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"234",5570,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"235",5571,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"236",5572,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"237",5575,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"238",5580,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"239",5590,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"240",5600,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"241",5601,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"242",5602,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"243",5620,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"244",5630,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"245",5631,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"246",5640,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"247",5930,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"248",5610,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"249",5935,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"250",5670,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"251",5940,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"252",5945,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"253",5675,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"254",5490,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"255",5680,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"256",5685,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"257",5870,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"258",5457,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"259",5950,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"260",5970,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"261",5971,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"262",5500,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"263",5980,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"264",5981,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"265",5691,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"266",5692,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"267",5710,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"268",5711,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"269",5712,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"270",5985,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"271",5730,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"272",5510,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"273",5511,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"274",5750,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"275",5458,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"276",5770,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"277",5790,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
"278",5791,"Chironomidae","Larva","Family","Arthropoda","Insecta","Diptera","Chironomidae",NA,NA
