"","ICF_ID","Date","Start_Time","Station_Code","Habitat","Region","Latitude","Longitude","Start_Depth","Temperature","Conductivity","Turbidity","pH","Salinity","DO","Chl_a","Secchi","X2","NO3","NH4","PO4","DOC","End_Depth","End_Time","Microcystis_2017","Microcystis","Warp_Length","Warp_Angle","Tow_Time","Macrozooplankton_Volume","Mesozooplankton_Volume","Alienacanthomysis_macropsis","Americorophium_spinicorne","Americorophium_spp","Americorophium_stimpsoni","Ampelisca_abdita","Amphipod_UNID","Ampithoe_spp","Ampithoe_valida","Corophiidae_UNID","Crangonyx_spp","Cumacean_UNID","Deltamysis_holmquistae","Eogammarus_spp","Exopalaemon_spp","Gammarus_daiberi","Grandidierella_japonica","Hyalella_spp","Hyperacanthomysis_longirostris","Isopoda_UNID","Monocorophium_acherusicum","Mysid_UNID","Neomysis_kadiakensis","Neomysis_mercedes","Oedicerotidae_UNID","Orientomysis_aspera","Orientomysis_hwanhaiensis","Pleustidae_UNID","Shrimp_UNID_larvae","Sinocorophium_alienense","Tanaidacea_UNID"
"19","ICF9",2017-09-20,NA,"18-08-SBM01","Channel Surface","Suisun Bay",38.094773,-122.057459,18.6,20.2,7487,63.23,7.5,4.15,8.46,2.41,25,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ICF11",2017-09-20,NA,"18-08-SM01","Channel Surface","Suisun Marsh",38.16649,-122.044049,25.5,20.7,8126,31.32,7.47,4.52,7.65,4.24,24,NA,0.263,0.057,0.072,3.16,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ICF12",2017-09-20,NA,"18-08-SM01","Shoal","Suisun Marsh",38.164363,-122.043339,6,20.7,8126,71.21,7.58,4.23,7.89,2.94,NA,NA,0.292,0.071,0.138,2.614,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ICF172",2017-09-20,NA,"18-08-SRR01","Channel Surface","Upper Sacramento River",38.172903,-121.638432,21.1,18.96,122.8,4.91,7.58,0.06,8.33,1.74,155,NA,0.117,0.24,0.039,1.937,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ICF174",2017-09-20,NA,"18-08-SRU01","Channel Surface","Upper Sacramento River",38.53533,-121.51826,29.2,18.1,104.3,3.77,7.76,0.05,9.2,1.87,119,NA,0.047,0,0.013,1.755,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ICF175",2017-09-20,NA,"18-08-SRU01","Shoal","Upper Sacramento River",38.534545,-121.5226,5.8,18.32,106.9,4.68,7.87,0.05,9.32,2.2,98,NA,0.05,0,0.014,1.75,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ICF176",2017-09-22,NA,"18-08-CS01","Channel Surface","Sacramento Deep Water Ship Channel",38.191829,-121.656693,43.4,18.6,123.1,0.3,7.67,0.06,8.48,1.36,205,NA,0.133,0.017,0.047,2.12,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ICF177",2017-09-22,NA,"18-08-CS01","Shoal","Sacramento Deep Water Ship Channel",38.192899,-121.658691,6.3,18.59,125.3,0.24,7.67,0.06,8.51,1.59,150,NA,0.325,0.157,0.047,2.111,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ICF179",2017-09-22,NA,"18-08-CS02","Shoal","Cache Slough and Liberty Island",38.313497,-121.692438,8,20,231.8,4.85,7.76,0.11,6.86,3.56,89,NA,0.121,0.013,0.157,5.101,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ICF15",2017-09-22,NA,"18-08-SBM02","Channel Surface","Suisun Bay",38.05806667,-121.8479833,35,19.54,2603,18.73,7.78,1.33,8.65,1.84,43,NA,0.386,0.042,0.14,2.202,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ICF180",2017-09-25,09:38:00,"18-09-SSC01","Channel Surface","Sacramento Deep Water Ship Channel",38.561311,-121.54221,37.3,21.9,671,NA,8.48,0.33,7.85,3.87,155,NA,0.003,0,0.104,3.108,18,NA,"N",NA,NA,NA,NA,76.097,66.662,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA
"30","ICF181",2017-09-25,10:00:00,"18-09-SSC01","Channel Surface","Sacramento Deep Water Ship Channel",38.561247,-121.54171,36,21.9,671,NA,8.48,0.33,7.85,3.87,155,NA,NA,NA,NA,NA,18.6,NA,"N",NA,NA,NA,NA,62.863,59.097,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA
"31","ICF182",2017-09-25,10:23:00,"18-09-SSC01","Channel Deep","Sacramento Deep Water Ship Channel",38.561339,-121.54215,36.3,21.6,633,NA,8.4,0.31,7.72,2.7,NA,NA,NA,NA,NA,NA,37.5,NA,"N",NA,70,24,NA,73.845,64.726,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA
"32","ICF183",2017-09-25,10:40:00,"18-09-SSC01","Channel Deep","Sacramento Deep Water Ship Channel",38.561353,-121.5428,36,21.6,633,NA,8.4,0.31,7.72,2.7,NA,NA,NA,NA,NA,NA,37.6,NA,"N",NA,70,22,NA,63.788,56.089,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA
"33","ICF185",2017-09-25,11:54:00,"18-09-SSC02","Channel Surface","Sacramento Deep Water Ship Channel",38.385599,-121.62434,33.8,20.82,474.5,13.25,8.4,0.23,8.72,5.01,48,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,68.267,56.405,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA
"34","ICF186",2017-09-25,12:13:00,"18-09-SSC02","Channel Deep","Sacramento Deep Water Ship Channel",38.384313,-121.62511,34.5,20.4,482.3,17.8,8.24,0.23,8.37,3.97,NA,NA,NA,NA,NA,NA,35.3,NA,"N",NA,NA,NA,NA,62.553,113.46,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0.255783096,0,0,157.6583058,NA,0,0,0,0,0,0,0,0,NA,0,NA
"35","ICF187",2017-09-25,12:37:00,"18-09-SSC02","Channel Deep","Sacramento Deep Water Ship Channel",38.386236,-121.6241,35.1,20.4,482.3,17.8,8.24,0.23,8.37,3.97,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,60.142,53.972,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0.033254631,0,0,412.8894949,NA,0,0,0,0,0,0,0,0,NA,0,NA
"36","ICF188",2017-09-25,12:59:00,"18-09-SSC02","Oblique","Sacramento Deep Water Ship Channel",38.386695,-121.62387,36,20.82,474.5,13.25,8.4,0.23,8.72,5.01,48,NA,NA,NA,NA,NA,34,NA,"N",NA,70,24,NA,59.741,52.912,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,125.6088783,NA,0,0,0,0,0,0,0,0,NA,0,NA
"37","ICF184",2017-09-25,NA,"18-09-SSC02","Channel Surface","Sacramento Deep Water Ship Channel",38.38838,-121.622542,35.7,20.82,474.5,13.25,8.4,0.23,8.72,5.01,48,NA,0.076,0.002,0.106,2.794,34.2,NA,"N",NA,NA,NA,NA,60.099,58.938,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA
"38","ICF189",2017-09-26,NA,"18-09-CS01","Channel Surface","Cache Slough and Liberty Island",38.296003,-121.72754,6.8,18.95,170.8,1.01,7.93,0.08,8.56,1.95,138,NA,0.046,0.013,0.085,3.306,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","ICF190",2017-09-26,NA,"18-09-CS02","Channel Surface","Cache Slough and Liberty Island",38.249218,-121.711692,14.2,18.819,144.8,0.68,7.97,0.07,8.84,1.69,205,NA,0.109,0.043,0.063,2.81,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","ICF191",2017-09-26,NA,"18-09-CS02","Shoal","Cache Slough and Liberty Island",38.24857,-121.71026,7.5,18.89,148.4,0.89,7.9,0.07,8.71,1.71,166,NA,0.123,0.027,0.069,2.867,NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","ICF24",2017-09-27,10:43:00,"18-09-HB01","Channel Surface","Suisun Bay",38.06178,-121.9664,26.8,19.96,5146,3.01,7.64,2.78,8.3,1.76,57,NA,0.273,0.058,0.058,2.068,23.7,NA,"Y",NA,NA,NA,7,57.312,53.878,0,0.017448353,0,0,0,0,0,0,0,0,NA,0,NA,NA,0.087241764,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA
"42","ICF25",2017-09-27,11:27:00,"18-09-HB01","Channel Deep","Suisun Bay",38.062448,-121.96639,26.3,19.76,8948,19.57,7.67,5.02,8.03,1.39,NA,NA,NA,NA,NA,NA,23.2,NA,"N",NA,70,19,7,57.312,53.878,0,0.139586823,0,0,0,0.401312116,0,0,0,0,NA,0,NA,NA,0.942211055,0,0,0.872417644,NA,0,0.034896706,0.36641541,0,0,0,0,0,NA,0,NA
"43","ICF26",2017-09-27,12:21:00,"18-09-HB01","Shoal","Suisun Bay",38.076516,-121.95687,5.6,20.28,5213,14.23,7.78,2.81,8.38,2.76,50,NA,NA,NA,NA,NA,5.3,NA,"N",NA,NA,NA,7,61.528,58.4,0,0.032505526,0,0,0,0,0,0,0,0,NA,0,NA,NA,0.113769341,0,0,0.698868808,NA,0,0,0.016252763,0,0,0,0,0,NA,0,NA
"44","ICF21",2017-09-27,08:50:00,"18-09-SBM01","Channel Surface","Suisun Bay",38.071027,-121.98339,17.5,19.69,4660,12.28,7.63,2.42,8.32,1.85,55,NA,0.272,0.074,0.058,2.677,NA,NA,"N",NA,NA,NA,7,68.661,63.24,0,0.014564309,0,0,0,0.101950161,0,0,0,0,NA,0,NA,NA,0.305850483,0,0,0.131078778,NA,0,0,0.014564309,0,0,0,0,0,NA,0,NA
"45","ICF22",2017-09-27,09:27:00,"18-09-SBM01","Channel Deep","Suisun Bay",38.068499,-121.97875,20.6,19.73,3096,82.77,7.57,3.58,8.19,6.8,NA,NA,NA,NA,NA,NA,18.8,NA,"N",NA,NA,NA,7,54.508,49.559,0,0.018345931,0,0,0,0,0,0,0,0,NA,0,NA,NA,1.46767447,0,0,11.02590445,NA,0,0,0.807220958,0,0,0,0,0,NA,0,NA
"46","ICF23",2017-09-27,10:07:00,"18-09-SBM01","Shoal","Suisun Bay",38.077276,-121.98854,9,19.85,6809,14.93,7.68,3.58,8.37,1.63,49,NA,NA,NA,NA,NA,8.5,NA,"N",NA,NA,NA,7,54.239,49.314,0,0.036873836,0,0,0,0.147495345,0,0,0,0,NA,0,NA,NA,0.036873836,0,0,0.036873836,NA,0,0,0.018436918,0,0,0,0,0,NA,0,NA
"47","ICF193",2017-09-27,09:41:00,"18-09-SRR01","Channel Surface","Upper Sacramento River",38.184262,-121.58529,17.5,16.799,105.3,3.3,7.44,0.05,9.11,1.06,152,NA,0.096,0.171,0.03,1.78,NA,NA,"N",NA,NA,NA,7,90.998,57.566,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0.021978505,NA,0,0,0,0,0,0,0,0,NA,0,NA
"48","ICF194",2017-09-27,10:07:00,"18-09-SRR01","Channel Deep","Upper Sacramento River",38.185226,-121.58437,19.4,16.838,104.9,1.55,7.37,0.05,9.08,0.99,NA,NA,NA,NA,NA,NA,16.9,NA,"N",NA,40,24,7,65.545,116.678,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0.015256694,0,0,0,0,0,0,NA,0,NA
"49","ICF192",2017-09-27,NA,"18-09-SRR01","Channel Surface","Upper Sacramento River",38.182004,-121.586902,16.7,16.799,105.3,3.3,7.44,0.05,9.11,1.06,152,NA,0.096,0.171,0.03,1.78,18.3,NA,"N",NA,NA,NA,7,61.419,57.725,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0.748953907,NA,0,0,0,0,0,0,0,0,NA,0,NA
"50","ICF199",2017-09-27,01:15:00,"18-09-SRU01","Oblique","Upper Sacramento River",38.30115,-121.5701,23.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4,NA,"N",NA,50,24,7,59.376,54.3,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA
"51","ICF196",2017-09-27,12:01:00,"18-09-SRU01","Channel Surface","Upper Sacramento River",38.299302,-121.56841,25.5,17.1,105.8,2.66,7.67,0.05,9.15,0.98,150,NA,NA,NA,NA,NA,27,NA,"N",NA,NA,NA,7,67.503,61.374,0,0,0,0.029628313,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA
"52","ICF197",2017-09-27,12:23:00,"18-09-SRU01","Channel Deep","Upper Sacramento River",38.298488,-121.56811,23.7,NA,105.9,4.36,7.53,NA,9.1,1.53,NA,NA,NA,NA,NA,NA,24.8,NA,"N",NA,50,22,7,62.863,59.097,0,0.015907609,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA
"53","ICF198",2017-09-27,12:56:00,"18-09-SRU01","Channel Deep","Upper Sacramento River",38.300881,-121.57014,25.6,NA,105.9,4.36,7.53,NA,9.1,1.53,NA,NA,NA,NA,NA,NA,24.6,NA,"N",NA,NA,NA,7,62.863,59.097,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0.015907609,NA,0,0,0,0,0,0,0,0,NA,0,NA
"54","ICF195",2017-09-27,NA,"18-09-SRU01","Channel Surface","Upper Sacramento River",38.298091,-121.567785,25.3,17.1,105.8,2.66,7.67,0.05,9.15,0.98,150,NA,0.073,0.333,0.039,1.828,25.6,NA,"N",NA,NA,NA,7,70.468,64.07,0,0.014190838,0.014190838,0,0,0,0,0,0,0.014190838,NA,0,NA,NA,0,0,0,0.042572515,NA,0,0,0,0,0,0,0,0,NA,0,NA
"55","ICF200",2017-09-29,NA,"18-09-LSR01","Channel Surface","Suisun Bay",38.0564,-121.877,64.8,18.5,168.1,2.59,7.78,0.08,8.73,2.78,114,NA,0.188,0.078,0.043,2.169,64.8,NA,"N",NA,NA,NA,7,68.989,66.315,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0.028990129,NA,0,0,0,0,0,0,0,0,NA,0,NA
"56","ICF201",2017-09-29,NA,"18-09-LSR01","Channel Surface","Suisun Bay",38.05606,-121.8775,60.3,18.5,168.1,2.59,7.78,0.08,8.73,2.78,114,NA,NA,NA,NA,NA,57.1,NA,"N",NA,NA,NA,7,65.74,59.482,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,NA
"57","ICF202",2017-09-29,NA,"18-09-LSR01","Channel Deep","Suisun Bay",38.05763,-121.8709,50.3,19.39,662,5.93,7.86,0.29,8.43,2.63,NA,NA,NA,NA,NA,NA,55.1,NA,"N",NA,90,22,7,62.516,57.487,0,0.09597543,0,0,0,0,0,0,0,0,NA,0,NA,NA,0.255934481,0,0,3.775033591,NA,0,0,0.06398362,0,0,0,0,0,NA,0,NA
"58","ICF203",2017-09-29,NA,"18-09-LSR01","Channel Deep","Suisun Bay",38.05624,-121.8734,48,19.39,662,5.93,7.86,0.29,8.43,2.63,NA,NA,NA,NA,NA,NA,55.3,NA,"N",NA,90,25,7,57.799,54.66,0,0.155712037,0,0,0,0,0,0,0,0,NA,0,NA,NA,12.4915656,0,0.034602675,8.512257998,NA,0,0,0.242218724,0,0,0,0,0,NA,0,NA
"59","ICF210",2017-09-29,02:07:00,"18-09-RV01","Shoal","Lower Sacramento",38.137345,-121.69563,7.6,18.26,111.5,0.81,7.6,0.05,9.13,1.15,160,NA,NA,NA,NA,NA,6.9,NA,"N",NA,NA,NA,7,72.172,63.291,0,0,0,0,0,0,0,0,0,0,NA,0,NA,NA,1.011472593,0,0.027711578,0,NA,0,0,0,0,0,0,0,0,NA,0,NA
