Project,Year,Survey,Month,Date,Station,Time,TowDuration,Region,TideCode,DepthBottom,CondSurf,PPTSurf,CondBott,PPTBott,TempSurf,TempBottom,Secchi,Turbidity,Microcystis,TotalMeter,MeterEstimate,Volume,ACARTELA,ACARTIA,DIAPTOM,EURYTEM,OTHCALAD,PDIAPFOR,PDIAPMAR,SINOCAL,TORTANUS,ALLCALADULTS,ACANTHO,LIMNOSPP,LIMNOSINE,LIMNOTET,OITHDAV,OITHSIM,OITHSPP,OTHCYCAD,ALLCYCADULTS,HARPACT,EURYJUV,OTHCALJUV,PDIAPJUV,SINOCALJUV,ASINEJUV,ACARJUV,DIAPTJUV,TORTJUV,ALLCALJUV,LIMNOJUV,OITHJUV,OTHCYCJUV,ALLCYCJUV,EURYNAUP,OTHCOPNAUP,PDIAPNAUP,SINONAUP,ALLCOPNAUP,BOSMINA,DAPHNIA,DIAPHAN,OTHCLADO,ALLCLADOCERA,ASPLANCH,KERATELA,OTHROT,POLYARTH,SYNCH,TRICHO,ALLROTIFERS,BARNNAUP,CRABZOEA,OSTRACOD,CUMAC
STN,2005,1,6,6/14/2005,711,9:24,10,Sacramento River,2,4.3,136,0.06,NA,NA,19.2,NA,81,NA,NA,12185,N,3.7,0,0,5.4,0,0,0,0,0,0,5.4,21.6,0,0,0,0,0,0,5.4,27,0,0,0,10.8,5.4,0,0,0,0,16.2,0,0,237.8,237.8,0,0,10.8,0,10.8,156.8,48.6,5.4,183.8,394.6,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/14/2005,812,8:00,10,Lower San Joaquin,4,6.4,133,0.05,NA,NA,20.1,NA,89,NA,NA,13658,N,4.1,0,0,4.8,4.8,0,728.2,0,28.9,0,766.7,4.8,0,0,0,0,0,0,0,4.8,0,24.1,0,1099.5,4.8,0,0,0,0,1128.4,0,0,33.8,33.8,0,0,135,0,135,96.4,4.8,4.8,14.5,120.6,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/14/2005,815,7:15,10,Lower San Joaquin,4,4.3,130,0.05,NA,NA,20.2,NA,104,NA,NA,9879,N,3,0,0,0,20,0,1913.4,0,6.7,0,1940.1,0,0,0,0,0,0,0,0,0,0,33.3,0,2066.7,0,0,0,0,0,2100.1,0,0,93.3,93.3,0,0,313.3,0,313.3,520,66.7,33.3,93.3,713.4,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/14/2005,919,6:21,10,Mokelumne River,4,5.5,102,0.04,NA,NA,19.7,NA,92,NA,NA,12473,N,3.8,0,0,10.6,0,0,31.7,0,0,0,42.2,10.6,0,0,0,0,0,0,37,47.5,0,26.4,5.3,385.5,0,0,0,0,0,417.1,0,0,116.2,116.2,0,0,549.2,0,549.2,153.1,58.1,0,232.3,443.6,0,0,0,0,0,0,0,0,0,5.3,0
STN,2005,1,6,6/15/2005,405,11:29,10,Suisun Bay (Carquinez St.),2,4,1925,0.96,NA,NA,19.7,NA,58,NA,NA,12907,N,3.9,2.6,15.3,0,0,0,7.7,0,2.6,15.3,43.4,0,23,0,0,0,0,0,0,23,15.3,0,0,99.5,2.6,0,0,0,0,102.1,0,0,12.8,12.8,0,23,45.9,0,68.9,0,0,2.6,0,2.6,0,0,0,0,0,0,0,324,0,0,0
STN,2005,1,6,6/15/2005,411,9:45,10,Suisun Bay,4,6.4,3218,1.66,NA,NA,20.2,NA,52,NA,NA,11992,N,3.6,11,5.5,0,0,0,49.4,0,5.5,153.8,225.2,0,38.4,0,0,5.5,0,0,0,43.9,5.5,0,5.5,488.8,0,0,0,0,0,494.3,0,0,33,33,0,11,280.1,0,291.1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
STN,2005,1,6,6/15/2005,418,10:38,10,Suisun Bay (Mothball),2,11,4733,2.51,NA,NA,19.8,NA,49,NA,NA,12859,N,3.9,7.7,7.7,0,2.6,0,17.9,0,0,143.4,179.3,0,23,0,0,0,0,0,0,23,2.6,0,0,350.8,12.8,0,0,0,0,363.7,0,0,51.2,51.2,0,0,69.1,2.6,71.7,0,0,0,0,0,0,0,0,0,0,0,0,7.7,0,0,0
STN,2005,1,6,6/15/2005,501,8:48,10,Suisun Bay,4,9.1,1440,0.7,NA,NA,20.4,NA,39,NA,NA,12500,N,3.8,47.4,0,0,0,0,458.4,0,79,0,584.9,10.5,73.8,0,0,0,0,0,36.9,121.2,10.5,10.5,0,2450.1,484.7,0,0,0,0,2945.4,0,0,79,79,0,84.3,611.2,52.7,748.2,0,5.3,0,5.3,10.5,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/15/2005,504,12:15,10,Suisun Bay,2,5.5,196,0.08,NA,NA,20.8,NA,49,NA,NA,12209,N,3.7,0,0,0,0,0,820,0,237.4,0,1057.3,5.4,0,0,0,0,0,0,0,5.4,10.8,0,0,1197.6,0,0,0,0,0,1197.6,0,0,10.8,10.8,0,0,393.8,5.4,399.2,0,0,5.4,5.4,10.8,0,0,0,0,0,0,0,0,0,16.2,0
STN,2005,1,6,6/15/2005,513,7:25,10,Suisun Bay,4,15.8,157,0.07,NA,NA,20,NA,77,NA,NA,12416,N,3.8,0,0,5.3,0,0,562.3,0,90.2,0,657.8,0,0,0,0,0,0,0,5.3,5.3,0,0,0,647.2,5.3,0,0,0,0,652.5,0,0,31.8,31.8,0,137.9,0,0,137.9,26.5,0,0,0,26.5,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/15/2005,519,8:10,10,Suisun Bay (Honker),4,3,172,0.07,NA,NA,20.2,NA,47,NA,NA,12764,N,3.9,15.5,0,0,0,0,221.9,0,221.9,0,459.2,10.3,10.3,0,0,0,0,0,0,20.6,0,10.3,0,1130,61.9,0,0,0,0,1202.3,0,0,36.1,36.1,0,10.3,273.5,5.2,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/15/2005,520,12:58,10,Suisun Bay,2,14.3,159,0.07,NA,NA,20.5,NA,67,NA,NA,12620,N,3.8,0,0,0,15.7,0,767.2,0,114.8,0,897.6,0,0,0,0,0,0,0,0,0,5.2,0,0,762,5.2,0,0,0,0,767.2,0,0,26.1,26.1,0,0,240.1,0,240.1,20.9,0,0,15.7,36.5,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/15/2005,804,6:41,10,Lower San Joaquin,4,9.1,152,0.06,NA,NA,20.8,NA,99,NA,NA,13872,N,4.2,0,0,0,4.7,0,2872.4,0,99.7,0,2976.9,0,0,0,0,0,0,0,0,0,0,19,4.7,1804.2,0,0,0,0,0,1827.9,0,0,66.5,66.5,0,0,204.2,0,204.2,71.2,0,9.5,38,118.7,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/16/2005,602,10:02,10,Suisun Bay (Grizzly),2,2.4,3726,1.94,NA,NA,19.7,NA,38,NA,NA,9564,N,2.9,13.8,0,0,0,0,137.7,0,13.8,62,227.3,0,785.1,0,0,0,0,0,0,785.1,6.9,6.9,0,1845.6,399.4,0,0,0,0,2251.9,0,0,68.9,68.9,0,103.3,399.4,48.2,550.9,0,0,0,6.9,6.9,0,0,0,0,0,0,0,6.9,0,0,0
STN,2005,1,6,6/16/2005,606,9:06,10,Suisun Bay (Mont. Sl.),4,7.6,728,0.34,NA,NA,21.6,NA,21,NA,NA,12470,N,3.8,15.8,0,5.3,21.1,0,1716.5,0,359.2,0,2117.9,21.1,10.6,0,0,0,0,0,0,31.7,31.7,5.3,0,4447.1,665.5,0,0,0,0,5117.9,0,0,95.1,95.1,0,21.1,517.6,15.8,554.6,0,0,10.6,10.6,21.1,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/16/2005,609,8:00,10,Suisun Bay (Mont. Sl.),4,12.2,574,0.26,NA,NA,20.7,NA,30,NA,NA,13011,N,4,5.1,0,0,5.1,0,3832,0,334.1,0,4176.2,20.2,0,0,0,0,0,0,0,20.2,10.1,5.1,0,1351.6,70.9,0,0,0,0,1427.5,0,0,141.7,141.7,0,10.1,369.5,0,379.7,0,0,5.1,0,5.1,0,0,0,0,0,0,0,0,0,5.1,0
STN,2005,1,6,6/16/2005,610,7:00,10,Suisun Bay (Mont. Sl.),4,4,232,0.1,NA,NA,20.2,NA,29,NA,NA,17253,N,5.2,64.9,0,0,0,0,221.4,0,118.3,0,404.6,0,19.1,0,0,0,0,0,0,19.1,0,3.8,0,641.3,244.3,0,0,0,0,889.5,0,0,7.6,7.6,0,0,87.8,3.8,91.6,7.6,0,3.8,3.8,15.3,0,0,0,0,0,0,0,0,0,0,0
STN,2005,1,6,6/17/2005,340,6:11,10,Napa River,4,3,14099,8.14,NA,NA,18.8,NA,40,NA,NA,12419,N,3.8,31.8,79.5,0,0,0,233.3,0,5.3,5.3,355.3,0,26.5,0,0,15.9,0,0,0,42.4,63.6,0,0,461.4,15.9,0,0,0,0,477.3,0,0,10.6,10.6,0,323.5,0,0,323.5,10.6,0,0,0,10.6,0,0,0,0,0,0,0,540.9,0,0,0
STN,2005,1,6,6/17/2005,508,7:19,10,Suisun Bay,4,12.2,157,0.07,NA,NA,19.1,NA,55,NA,NA,12208,N,3.7,5.1,0,0,0,0,849.7,0,131.5,10.1,996.4,0,20.2,0,0,5.1,0,0,5.1,30.3,10.1,0,0,1031.8,10.1,0,0,0,0,1041.9,0,0,96.1,96.1,0,25.3,748.6,30.3,804.2,5.1,5.1,5.1,20.2,35.4,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/27/2005,809,7:23,10,Lower San Joaquin,4,13.7,146,0.06,NA,NA,20,NA,94,NA,NA,11479,N,3.5,0,0,5.7,0,0,1141.8,0,86.1,0,1233.6,0,5.7,0,0,0,0,0,0,5.7,0,23,5.7,1962.3,11.5,0,0,0,0,2002.4,0,0,11.5,11.5,0,0,309.8,0,309.8,68.9,17.2,11.5,45.9,143.4,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/27/2005,902,8:24,10,Old River,4,7.9,143,0.06,NA,NA,21,NA,110,NA,NA,9869,N,3,0,0,0,0,0,350.4,0,29.2,0,379.6,0,0,0,0,0,0,0,23.4,23.4,0,5.8,0,2160.6,0,0,0,0,0,2166.4,0,0,46.7,46.7,0,0,1267.2,0,1267.2,40.9,11.7,11.7,105.1,169.3,0,0,0,0,0,0,0,5.8,0,0,0
STN,2005,2,6,6/27/2005,906,12:21,10,San Joaquin River,2,13.1,164,0.07,NA,NA,21.4,NA,80,NA,NA,12569,N,3.8,0,0,10.5,26.2,0,1980.7,0,31.4,0,2048.9,5.2,0,0,0,0,0,0,15.7,21,0,246.3,5.2,5900.3,0,0,0,0,0,6151.8,0,0,89.1,89.1,5.2,5.2,712.6,0,723.1,1608.7,136.2,361.6,262,2368.5,5.2,0,0,0,0,0,5.2,0,0,0,0
STN,2005,2,6,6/27/2005,910,13:02,10,South Delta,2,10.4,312,0.14,NA,NA,21.9,NA,38,NA,NA,12383,N,3.8,0,0,0,23.9,0,23.9,0,0,0,47.9,167.5,0,0,0,0,0,0,71.8,239.3,191.5,1555.7,167.5,9597.7,0,0,0,0,0,11321,0,0,2465.2,2465.2,5050.2,5983.6,34896.3,0,45930.1,12733.1,813.8,1220.7,1914.7,16682.3,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/27/2005,912,13:51,10,South Delta,2,11.6,321,0.14,NA,NA,22.1,NA,36,NA,NA,13258,N,4,0,0,0,31,0,55.9,0,0,0,86.9,105.6,0,0,0,0,0,0,18.6,124.2,37.3,285.6,31,540.2,0,0,0,0,0,856.9,0,0,1769.8,1769.8,409.8,1260.6,12953.3,0,14623.7,6675.4,863.1,391.2,2614.3,10544,0,0,0,0,0,0,0,0,0,12.4,6.2
STN,2005,2,6,6/27/2005,914,11:20,10,South Delta,1,11.3,242,0.1,NA,NA,21.8,NA,71,NA,NA,12812,N,3.9,0,0,0,34.3,0,484.1,0,25.7,0,544.1,25.7,0,0,0,0,0,0,25.7,51.4,30,1015.3,17.1,8537.8,4.3,0,0,0,0,9574.5,0,0,424.1,424.1,154.2,317,4438.1,8.6,4917.9,3457.1,766.8,788.2,1507.9,6520.1,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/27/2005,915,9:08,10,South Delta,4,7.6,148,0.06,NA,NA,21.8,NA,120,NA,NA,10715,N,3.3,0,0,0,0,0,645.4,0,51.2,0,696.6,0,0,0,0,0,0,0,25.6,25.6,0,5.1,5.1,2755.8,0,0,0,0,0,2766,0,0,25.6,25.6,0,5.1,717.1,0,722.2,35.9,5.1,10.2,107.6,158.8,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/27/2005,918,10:02,10,South Delta,4,7.6,198,0.08,NA,NA,22.2,NA,65,NA,NA,13050,N,4,0,0,37.9,4.2,0,155.6,0,16.8,0,214.5,16.8,0,0,0,0,0,0,16.8,33.6,4.2,29.4,16.8,2372,4.2,0,0,0,0,2422.5,0,0,159.8,159.8,29.4,63.1,3251,12.6,3356.2,403.8,294.4,58.9,243.9,1001,0,0,0,0,0,0,0,0,0,8.4,0
STN,2005,2,6,6/28/2005,513,12:55,10,Suisun Bay,2,15.2,186,0.08,NA,NA,19.7,NA,43,NA,NA,13908,N,4.2,20.7,0,0,0,4.1,1060.8,0,87,0,1172.6,12.4,41.4,0,0,0,0,0,4.1,58,8.3,0,4.1,1935.1,29,0,0,0,0,1968.2,16.6,0,82.9,99.4,0,33.1,1185.1,45.6,1263.8,41.4,0,0,8.3,49.7,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/28/2005,704,12:00,10,Lower Sacramento River,2,8.8,155,0.06,NA,NA,19.6,NA,38,NA,NA,12813,N,3.9,0,0,5.1,0,0,169.6,0,0,0,174.8,5.1,0,0,0,0,0,0,0,5.1,0,0,5.1,740.2,5.1,0,0,0,0,750.5,0,0,87.4,87.4,0,0,298.1,0,298.1,25.7,15.4,5.1,0,46.3,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/28/2005,706,11:10,10,Lower Sacramento River,2,10.4,155,0.06,NA,NA,19.5,NA,35,NA,NA,15005,N,4.6,0,0,0,0,0,232.6,0,21.9,0,254.6,17.6,0,0,0,0,0,0,13.2,30.7,0,0,4.4,377.5,8.8,0,0,0,0,390.7,0,0,70.2,70.2,0,0,13.2,0,13.2,21.9,8.8,0,8.8,39.5,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/28/2005,707,10:30,10,Lower Sacramento River,1,9.8,156,0.06,NA,NA,19.7,NA,49,NA,NA,12065,N,3.7,0,0,0,0,0,660.5,0,207.4,0,868,21.8,0,0,0,0,0,0,10.9,32.8,0,0,5.5,584.1,38.2,0,0,0,0,627.8,0,0,136.5,136.5,0,0,27.3,0,27.3,32.8,27.3,10.9,0,71,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/28/2005,711,9:47,10,Sacramento River,4,4.3,141,0.06,NA,NA,20.1,NA,49,NA,NA,10413,N,3.2,0,0,0,0,0,455.4,0,101.2,0,556.6,0,0,0,0,0,0,0,12.6,12.6,0,0,12.6,480.7,12.6,0,0,0,0,506,0,0,246.7,246.7,0,0,221.4,0,221.4,240.3,0,12.6,56.9,309.9,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/28/2005,812,8:35,10,Lower San Joaquin,4,4.9,134,0.06,NA,NA,20.2,NA,82,NA,NA,10679,N,3.2,0,0,0,0,0,709.3,0,12.3,0,721.6,0,0,0,0,0,0,0,0,0,0,6.2,0,2578,6.2,0,0,0,0,2590.3,0,0,55.5,55.5,0,0,1375.3,6.2,1381.5,98.7,6.2,6.2,24.7,135.7,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/28/2005,815,7:43,10,Lower San Joaquin,4,3.4,142,0.06,NA,NA,20.7,NA,96,NA,NA,11572,N,3.5,0,0,0,5.7,0,1035.9,0,34.1,0,1075.7,5.7,0,0,0,0,0,0,11.4,17.1,0,5.7,11.4,1861.1,0,0,0,0,0,1878.2,0,0,85.4,85.4,0,0,375.6,0,375.6,170.7,56.9,62.6,74,364.3,0,0,0,0,0,0,0,0,0,0,5.7
STN,2005,2,6,6/28/2005,919,6:53,10,Mokelumne River,4,5.2,99,0.04,NA,NA,19.5,NA,85,NA,NA,12634,N,3.8,0,0,15.6,0,0,52.1,0,0,0,67.8,15.6,0,0,0,0,0,0,36.5,52.1,0,5.2,20.9,948.8,0,0,0,0,0,974.8,0,0,286.7,286.7,0,46.9,2476.2,0,2523.1,458.8,109.5,78.2,161.6,808,0,0,0,0,0,0,0,0,0,10.4,0
STN,2005,2,6,6/29/2005,411,11:27,10,Suisun Bay,4,3,4918,2.62,NA,NA,20.2,NA,28,NA,NA,9770,N,3,0,0,6.7,0,0,67.4,0,0,27,101.1,0,33.7,0,0,0,0,0,0,33.7,6.7,6.7,33.7,6.7,0,0,0,0,0,47.2,0,0,13.5,13.5,0,40.4,6.7,0,47.2,0,0,6.7,0,6.7,0,0,0,0,0,0,0,404.5,0,0,0
STN,2005,2,6,6/29/2005,418,12:03,10,Suisun Bay (Mothball),2,8.5,6821,3.72,NA,NA,20,NA,39,NA,NA,11049,N,3.4,17.9,0,0,0,0,17.9,0,0,47.7,83.5,0,29.8,0,0,0,0,0,0,29.8,0,0,137.1,29.8,6,0,0,0,0,172.9,0,0,17.9,17.9,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,59.6,0,0,0
STN,2005,2,6,6/29/2005,501,10:32,10,Suisun Bay,4,11.9,3005,1.54,NA,NA,19.4,NA,27,NA,NA,8625,N,2.6,45.8,0,0,0,0,198.5,0,7.6,7.6,259.6,15.3,389.4,0,0,0,0,0,7.6,412.4,0,0,38.2,320.7,68.7,0,0,0,0,427.6,7.6,0,38.2,45.8,0,160.4,122.2,22.9,305.4,0,0,0,0,0,0,0,0,0,0,0,0,137.5,0,0,0
STN,2005,2,6,6/29/2005,504,8:50,10,Suisun Bay,4,7.9,540,0.25,NA,NA,19.9,NA,35,NA,NA,10130,N,3.1,266.6,0,0,0,0,929.7,0,91,0,1287.3,6.5,130,0,0,0,0,0,0,136.5,0,6.5,0,2321.1,104,0,0,0,0,2431.6,0,0,13,13,0,0,110.5,6.5,117,0,0,6.5,0,6.5,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/29/2005,519,9:37,10,Suisun Bay (Honker),4,3,720,0.33,NA,NA,19.7,NA,28,NA,NA,10813,N,3.3,85.3,0,0,6.1,0,493.4,0,127.9,0,712.6,12.2,274.1,0,0,0,0,0,6.1,292.4,0,0,12.2,1967.4,304.6,0,0,0,0,2284.1,0,0,60.9,60.9,6.1,18.3,554.3,18.3,596.9,0,0,0,0,0,0,0,0,0,0,0,0,18.3,0,6.1,0
STN,2005,2,6,6/29/2005,520,7:49,10,Suisun Bay,4,12.2,183,0.08,NA,NA,20.4,NA,60,NA,NA,12105,N,3.7,49,0,0,0,0,2459.3,0,255.7,0,2764,0,0,0,0,0,0,0,10.9,10.9,0,0,0,2954.4,59.8,0,0,0,0,3014.3,0,0,32.6,32.6,0,0,201.3,10.9,212.2,27.2,0,5.4,10.9,43.5,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/29/2005,804,6:55,10,Lower San Joaquin,4,11.6,155,0.06,NA,NA,20.8,NA,77,NA,NA,12813,N,3.9,8.6,0,4.3,0,4.3,4407.8,0,295.6,0,4720.5,4.3,0,0,0,0,0,0,8.6,12.9,0,0,0,3628.2,17.1,0,0,0,0,3645.3,0,0,12.9,12.9,0,0,424.1,4.3,428.4,81.4,0,8.6,38.6,128.5,0,0,0,0,0,0,0,0,0,0,0
STN,2005,2,6,6/30/2005,323,11:45,10,San Pablo Bay,2,3.4,23414,14.14,NA,NA,19.2,NA,65,NA,NA,12272,N,3.7,0,123.4,0,0,0,0,0,0,0,123.4,0,26.8,0,0,568.9,0,0,0,595.7,37.6,0,1551,37.6,0,0,0,0,0,1588.6,0,16.1,0,16.1,0,85.9,0,0,85.9,0,0,0,0,0,0,0,0,0,0,0,0,1175.3,0,0,0
STN,2005,2,6,6/30/2005,405,10:33,10,Suisun Bay (Carquinez St.),4,4.6,16450,9.62,NA,NA,19.6,NA,32,NA,NA,8108,N,2.5,16.2,24.4,0,0,8.1,381.8,0,40.6,40.6,511.8,0,48.7,0,0,0,0,0,8.1,56.9,0,0,40.6,463,24.4,0,0,0,0,528,0,0,24.4,24.4,0,81.2,186.8,0,268.1,8.1,0,8.1,0,16.2,0,0,0,0,0,0,0,276.2,0,0,0
STN,2005,2,6,6/30/2005,602,9:35,10,Suisun Bay (Grizzly),4,2.4,2892,1.48,NA,NA,20.3,NA,27,NA,NA,10831,N,3.3,170.3,0,0,6.1,0,741.9,0,73,6.1,997.3,0,2706,0,0,12.2,0,0,0,2718.2,12.2,0,30.4,991.2,212.8,0,0,0,0,1234.4,30.4,0,18.2,48.6,0,30.4,194.6,30.4,255.4,0,0,0,0,0,0,0,0,0,0,0,0,30.4,0,0,0
STN,2005,2,6,6/30/2005,606,8:43,10,Suisun Bay (Mont. Sl.),4,7,1270,0.61,NA,NA,21.6,NA,16,NA,NA,9581,N,2.9,20.6,0,0,6.9,0,1869.8,0,419.3,0,2316.6,0,1691.1,0,0,0,0,0,0,1691.1,75.6,0,34.4,1945.4,261.2,0,0,0,0,2241,55,0,55,110,0,55,666.8,6.9,728.7,0,0,0,0,0,0,0,0,0,0,0,0,20.6,0,0,0
STN,2005,2,6,6/30/2005,609,7:49,10,Suisun Bay (Mont. Sl.),4,11,959,0.45,NA,NA,20.9,NA,18,NA,NA,10285,N,3.1,12.8,0,0,0,0,2843.2,0,999,0,3855,12.8,19.2,0,0,0,0,0,0,32,6.4,0,0,1063,185.7,0,0,0,0,1248.7,0,0,76.8,76.8,0,0,44.8,0,44.8,0,0,6.4,0,6.4,0,0,0,0,0,0,0,0,0,0,0
