EMP_Micro,EMP_Meso,EMP_Macro,EMP_Lengths,STN_Meso,STN_Macro,FMWT_Meso,FMWT_Macro,twentymm_Meso,FRP_Meso,FRP_Macro,YBFMP_Macro,YBFMP_Meso,YBFMP_Micro,LI_Meso,LI_Micro,DOP_Meso,DOP_Macro,USGS_Meso,Lifestage,Taxname,Level,Phylum,Class,Order,Family,Genus,Species,Intro,EMPstart,EMPend,FMWTstart,FMWTend,twentymmstart,twentymmend,twentymmstart2,DOPstart,DOPend,FRPstart,FRPend,USGSstart,USGSend
,,,,,,,,,Chydoridae,,Chydoridae NotDetermined,,,,,Chydoridae_UNID,,Chydoridae N,Adult,Chydoridae,Family,Arthropoda,Branchiopoda,Cladocera,Chydoridae,,,,,,,,,,,2017,,2016,,2017,
,,,,,,,,,,,Cicadellidae Adults,,,,,,,,Adult,Cicadellidae,Family,Arthropoda,Insecta,Hemiptera,Cicadellidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Cladocera NotDetermined,Cladocera undifferentiated,Cladocera undifferentiated,Cladocera,Cladocera,Cladocera_UNID,,,Adult,Cladocera,Order,Arthropoda,Branchiopoda,Cladocera,,,,,,,,,,,,2017,,,,,
,,,,,,,,,,Clupeidae larvae,Clupeidae NotDetermined,,,,,,,,Larva,Clupeidae,Family,Chordata,Actinopterygii,Clupeiformes,Clupeidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,Coenagrionidae larvae,Coenagrionidae larvae,Coenagrionidae Larvae,,,,Coenagrionidae NA NA,,,,Larva,Coenagrionidae,Family,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Coenagrionidae NotDetermined,,,,,,,,Larva,Coenagrionidae,Family,Arthropoda,Insecta,Odonata,Coenagrionidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,Coleoptera adult UNID,Coleoptera adult UNID,Coleoptera Adults,,,,,,,,Adult,Coleoptera,Order,Arthropoda,Insecta,Coleoptera,,,,,,,,,,,,,,2018,,,
,,,,,,,,,Coleoptera larvae UNID,Coleoptera larvae UNID,Coleoptera Larvae,,,,Coleoptera NA NA,,,,Larva,Coleoptera,Order,Arthropoda,Insecta,Coleoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Coleoptera NotDetermined,,,,,,,,Undifferentiated,Coleoptera,Order,Arthropoda,Insecta,Coleoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Coleoptera Pupae,,,,,,,,Pupa,Coleoptera,Order,Arthropoda,Insecta,Coleoptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Collembola Adults,,,,,,,,Adult,Collembola,Class,Arthropoda,Collembola,,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Collembola Larvae,,,,,,,,Larva,Collembola,Class,Arthropoda,Collembola,,,,,,,,,,,,,,,2016,,,
,,,,,,,,,Collembola,Collembola,Collembola NotDetermined,,,,Collembola NA NA,,,,Undifferentiated,Collembola,Class,Arthropoda,Collembola,,,,,,,,,,,,,,,2016,,,
COPNAUP,COPNAUP,,,,,,,Copepod nauplii,,,Copepoda Larvae,Copepoda nauplius,Copepoda nauplius,,Copepod NA Nauplii,Copepod_UNID_nauplii,,Copepoda - nauplii N,Larva,Copepoda,Class,Arthropoda,Copepoda,,,,,,1972,1988,,,1995,,,2017,,,,2017,
,,,,,,,,,,,Copepoda NotDetermined,,,Copepoda,Copepoda,,,,Undifferentiated,Copepoda,Class,Arthropoda,Copepoda,,,,,,,,,,,,,,,,,,
,,,,,,,,,Corbicula,Corbicula,Corbiculidae NotDetermined,,,,,,,Corbicula sp. N,Adult,Corbicula fluminea,Species,Mollusca,Bivalvia,Veneroida,Corbiculidae,Corbicula,Corbicula fluminea,,,,,,,,,,,2016,,2017,
,,,,,,,,,,,Corbiculoidea NotDetermined,,,,,,,,Juvenile,Corbiculidae,Family,Mollusca,Bivalvia,Veneroida,Corbiculidae,,,,,,,,,,,,,,,,
,,,,,,,,,Corixidae,Corixidae,Corixidae Adults,,,,Corixidae NA NA,,,,Adult,Corixidae,Family,Arthropoda,Insecta,Hemiptera,Corixidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Corixidae Larvae,,,,,,,,Larva,Corixidae,Family,Arthropoda,Insecta,Hemiptera,Corixidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Corixidae NotDetermined,,,,,,,,Adult,Corixidae,Family,Arthropoda,Insecta,Hemiptera,Corixidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,Corophiid Juvenile,Corophiid Juvenile,Corophiidae Larvae,,,,,,,,Juvenile,Corophiidae,Family,Arthropoda,Malacostraca,Amphipoda,Corophiidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Corophiidae NotDetermined,Corophium sp. undifferentiated,Corophium sp. undifferentiated,,,,,,Undifferentiated,Corophiidae,Family,Arthropoda,Malacostraca,Amphipoda,Corophiidae,,,,,,,,,,,,,,,,
,,,,,,,,,Prickly Sculpin,Prickly Sculpin,Cottidae NotDetermined,,,,,,,,Juvenile,Cottus asper,Species,Chordata,Actinopterygii,,Cottidae,Cottus,Cottus asper,,,,,,,,,,,2016,,,
,,,,,,,,,,,Crambidae Larvae,,,,,,,,Juvenile,Crambidae,Family,Arthropoda,Insecta,Lepidoptera,Crambidae,,,,,,,,,,,,,,,,
,,,,,,,,,,Bay Shrimp,Crangonidae NotDetermined,,,,,,Crangon_spp,,Adult,Crangon,Genus,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,,,,,,,,,,2017,,2016,,,
,,Crangonyx_sp,Crangonyx sp,,Crangonyx sp_,,Crangonyx_sp,,Crangonyx,Crangonyx,Crangonyctidae NotDetermined,,,,Crangonyx NA NA,,Crangonyx_spp,,Adult,Crangonyx,Genus,Arthropoda,Malacostraca,Amphipoda,Crangonycitidae,Crangonyx,,1995,2014,,2013,,,,,2017,,2016,,,
,,,,,,,,,,,Culicidae Adults,,,,,,,,Adult,Culicidae,Family,Arthropoda,Insecta,Diptera,Culicidae,,,,,,,,,,,,,,,,
,,,,,,,,,Culicidae larvae,Culicidae larvae,Culicidae Larvae,,,,,,,,Larva,Culicidae,Family,Arthropoda,Insecta,Diptera,Culicidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Culicidae NotDetermined,,,,,,,,Undifferentiated,Culicidae,Family,Arthropoda,Insecta,Diptera,Culicidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Culicidae Pupae,,,,,,,,Pupa,Culicidae,Family,Arthropoda,Insecta,Diptera,Culicidae,,,,,,,,,,,,,,,,
,,,,,,,,,,Curculionidae adult,Curculionidae Adults,,,,,,,,Adult,Curculionidae,Family,Arthropoda,Insecta,Coleoptera,Curculionidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Curculionidae larvae,Curculionidae Larvae,,,,Curculionidae NA NA,,,,Larva,Curculionidae,Family,Arthropoda,Insecta,Coleoptera,Curculionidae,,,,,,,,,,,,,2016,,,
,OTHCYCAD,,,OTHCYCAD,,OTHCYCAD,,Other cyclopoid,Cyclopoid UNID,Cyclopoid UNID,Cyclopoida NotDetermined,Cyclopoida adult,Cyclopoida adult,,Cyclopoid NA Adult,,,Cyclopoida N,Adult,Cyclopoida,Order,Arthropoda,Copepoda,Cyclopoida,,,,,1972,,2005,,1995,,,,,2016,,2017,
,,,,,,,,,,,Cyprididae NotDetermined,,,,,,,,Adult,Cyprididae,Family,Arthropoda,Ostracoda,Podocopida,Cyprididae,,,,,,,,,,,,,,,,
,,,,,,,,,Cyprinid spp.,Cyprinid spp.,Cyprinidae NotDetermined,,,,,,,,Juvenile,Cyprinidae,Family,Chordata,Actinopterygii,Cypriniformes,Cyprinodontidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Cyprinodontidae NotDetermined,,,,,,,,Larva,Cyprinodontidae,Family,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Daphniidae NotDetermined,,,,,Daphniidae_UNID,,,Adult,Daphniidae,Family,Arthropoda,Branchiopoda,Cladocera,Daphniidae,,,,,,,,,,,2017,,,,,
,,,,,,,,,,,Decapoda Larvae,,,,,,,,Larva,Decapoda,Order,Arthropoda,Malacostraca,Decapoda,,,,,,,,,,,,2017,,2016,,,
,,,,,,,,,Shrimp UNID,Shrimp UNID,Decapoda NotDetermined,,,,,,Shrimp_UNID,,Adult,Decapoda,Order,Arthropoda,Malacostraca,Decapoda,,,,,,,,,,,,2017,,2016,,,
,,,,,,,,,,Earwig,Dermaptera Adults,,,,,,,,Adult,Dermaptera,Order,Arthropoda,Insecta,Dermaptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Dermaptera Larvae,,,,,,,,Larva,Dermaptera,Order,Arthropoda,Insecta,Dermaptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Dermaptera NotDetermined,,,,,,,,Undifferentiated,Dermaptera,Order,Arthropoda,Insecta,Dermaptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Millipede,Diplopoda NotDetermined,,,,,,,,Adult,Diplopoda,Class,Arthropoda,Diplopoda,,,,,,,,,,,,,,,2018,,,
,,,,,,,,,Diptera adult,Diptera adult,Diptera Adults,,,,,,,,Adult,Diptera,Order,Arthropoda,Insecta,Diptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,Diptera larvae UNID,Diptera larvae UNID,Diptera Larvae,,,,Diptera NA NA,,,,Larva,Diptera,Order,Arthropoda,Insecta,Diptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Diptera NotDetermined,,,,,,,,Undifferentiated,Diptera,Order,Arthropoda,Insecta,Diptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,Diptera pupae,Diptera pupae,Diptera Pupae,,,,,,,,Pupa,Diptera,Order,Arthropoda,Insecta,Diptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Dixidae Larvae,,,,,,,,Larva,Dixidae,Family,Arthropoda,Insecta,Diptera,Dixidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Dixidae NotDetermined,,,,,,,,Undifferentiated,Dixidae,Family,Arthropoda,Insecta,Diptera,Dixidae,,,,,,,,,,,,,,,,
,,,,,,,,,,Dolichopodidae larvae,Dolichopodidae Adults,,,,,,,,Larva,Dolichopodidae,Family,Arthropoda,Insecta,Diptera,Dolichopodidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Dorylaimidae NotDetermined,,,,,,,,Adult,Dorylaimidae,Family,Nematoda,Enoplea,Dorylaimida,Dorylaimidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Dryopidae,,,,,,,,Adult,Dryopidae,Family,Arthropoda,Insecta,Coleoptera,Dryopidae,,,,,,,,,,,,,,,,
,,,,,,,,,Dytiscidae adult,Dytiscidae adult,Dytiscidae Adults,,,,,,,,Adult,Dytiscidae,Family,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Dytiscidae larvae,Dytiscidae Larvae,,,,Dytiscidae NA NA,,,,Larva,Dytiscidae,Family,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Dytiscidae NotDetermined,,,,,,,,Undifferentiated,Dytiscidae,Family,Arthropoda,Insecta,Coleoptera,Dytiscidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Ectoprocta NotDetermined,,,,,,,,Adult,Ectoprocta,Phylum,Ectoprocta,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Elmidae adult,Elmidae Adults,,,,,,,,Adult,Elmidae,Family,Arthropoda,Insecta,Coleoptera,Elmidae,,,,,,,,,,,,,2018,,,
,,,,,,,,,Elmidae larvae,Elmidae larvae,Elmidae Larvae,,,,,,,,Larva,Elmidae,Family,Arthropoda,Insecta,Coleoptera,Elmidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Embioptera Larvae,,,,,,,,Adult,Embioptera,Order,Arthropoda,Insecta,Embioptera,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Empididae Adults,,,,,,,,Adult,Empididae,Family,Arthropoda,Insecta,Diptera,Empididae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Empididae Larvae,,,,,,,,Larva,Empididae,Family,Arthropoda,Insecta,Diptera,Empididae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Empididae NotDetermined,,,,,,,,Adult,Empididae,Family,Arthropoda,Insecta,Diptera,Empididae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Empididae Pupae,,,,,,,,Pupa,Empididae,Family,Arthropoda,Insecta,Diptera,Empididae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Enchytraeidae,,,,,,,,Adult,Enchytraeidae,Family,Annelida,Oligochaeta,Enchytraeida,Enchytraeidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Enchytraeidae NotDetermined,,,,,,,,Undifferentiated,Empididae,Family,Arthropoda,Insecta,Diptera,Empididae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ephemerellidae Larvae,,,,,,,,Larva,Ephemerellidae,Family,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ephemerellidae NotDetermined,,,,,,,,Undifferentiated,Ephemerellidae,Family,Arthropoda,Insecta,Ephemeroptera,Ephemerellidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ephemeridae Adults,,,,,,,,Adult,Ephemeridae,Family,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Ephemeridae NotDetermined,,,,,,,,Undifferentiated,Ephemeridae,Family,Arthropoda,Insecta,Ephemeroptera,Ephemeridae,,,,,,,,,,,,,,,,
,,,,,,,,,,Ephemeroptera adult,Ephemeroptera,,,,,,,,Adult,Ephemeroptera,Order,Arthropoda,Insecta,Ephemeroptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Ephemeroptera Adults,,,,,,,,Adult,Ephemeroptera,Order,Arthropoda,Insecta,Ephemeroptera,,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Ephydridae Adults,,,,,,,,Adult,Ephydridae,Family,Arthropoda,Insecta,Diptera,Ephydridae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,Ephydridae larvae,Ephydridae Larvae,,,,,,,,Larva,Ephydridae,Family,Arthropoda,Insecta,Diptera,Ephydridae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Ephydridae NotDetermined,,,,,,,,Undifferentiated,Ephydridae,Family,Arthropoda,Insecta,Diptera,Ephydridae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Ephydridae Pupae,,,,,,,,Pupa,Ephydridae,Family,Arthropoda,Insecta,Diptera,Ephydridae,,,,,,,,,,,,,2016,,,
,,,,,,,,,,,Erpobdellidae NotDetermined,,,,,,,,Adult,Erpobdellidae,Family,Annelida,Hirudinea,Arhynchobdellida,Erpobdellidae,,,,,,,,,,,,,,,,
,,,,,,,,,,,Eylaidae NotDetermined,,,,,,,,Adult,Eylaidae,Family,Arthropoda,Arachnida,Trombidiformes,Eylaidae,,,,,,,,,,,,,,,,
,,,,,,,,,Ant,Ant,Formicidae Adults,,,,Formicidae NA NA,,,,Adult,Formicidae,Family,Arthropoda,Insecta,Hymenoptera,Formicidae,,,,,,,,,,,,,2016,,,
,,,,,,,,,Mosquitofish,Mosquitofish,Gambusia affinis NotDetermined,,,,,,,,Juvenile,Gambusia affinis,Species,Chordata,Actinopterygii,,Poeciliidae,Gambusia,Gambusia affinis,,,,,,,,,,,2016,,,
,,,,,,,,,Gammarid juvenile,Gammarid juvenile,Gammaridae Larvae,,,,,,,,Juvenile,Gammaridae,Family,Arthropoda,Malacostraca,Amphipoda,Gammaridae,,,,,,,,,,,,,2016,,,
,,Unidentified_Gammarus,Unidentified Gammarus,,Unidentified Gammarus,,Unidentified_Gammarus,Gammarus,Gammarus,Gammarus,Gammaridae NotDetermined,,,,,,,,Adult,Gammarus,Genus,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,1986,2014,,2013,,1995,,,,,2016,,,
,,,,,,,,,,,Gastropoda NotDetermined,Mollusca undifferentiated,Mollusca undifferentiated,Gastropoda,Gastropoda,,,,Undifferentiated,Gastropoda,Class,Mollusca,Gastropoda,,,,,,,,,,,,,,,,,,
