"bottle.ID","Date","genus","species","division","notes","NetRadius_cm","TowVolume_L","TotalSampleVolume_mL","Aliquot_mL","CountFactor","NumberIndividualsCounted","NumberPerLiter","BiomassFactor","SpeciesBiomass_ugdwL","file_name","Station"
"NL56",2017-09-26,"Conochilus","spp.","Rotifera","na",15.24,733.921693340774,224,15,0.0203473115304135,15,0.305209672956202,0.0227613344816,0.00694697945317587,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","56"
"NL62",2017-09-26,"Diaphanosoma","brachyurum","Cladocera","na",15.24,689.441590714061,216,13,0.0240997712339575,11,0.265097483573532,1.39688040740669,0.370309480856685,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","62"
"NL62",2017-09-26,"calanoid","copepodid","Copepoda","na",15.24,689.441590714061,216,13,0.0240997712339575,181,4.36205859334631,1.52972536182948,6.67275166002805,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","62"
"NL62",2017-09-26,"cyclopoid","copepodid","Copepoda","na",15.24,689.441590714061,216,13,0.0240997712339575,1,0.0240997712339575,0.637044134310085,0.0153526179028075,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","62"
"NL62",2017-09-26,"Pseudodiaptomus","forbesi","Copepoda","na",15.24,689.441590714061,216,13,0.0240997712339575,4,0.09639908493583,2.6510856891868,0.255562234524081,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","62"
"NL62",2017-09-26,"nauplii",NA,"Copepoda","na",15.24,689.441590714061,216,13,0.0240997712339575,47,1.132689247996,0.337699281998722,0.382508345775922,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","62"
"NL64",2017-09-26,"Diaphanosoma","brachyurum","Cladocera","na",15.24,644.961488087347,245,9,0.0422075158362564,5,0.211037579181282,2.48464536125684,0.524353542163646,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","64"
"NL64",2017-09-26,"calanoid","copepodid","Copepoda","na",15.24,644.961488087347,245,9,0.0422075158362564,101,4.2629590994619,1.23890458801895,5.28139958686047,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","64"
"NL64",2017-09-26,"harpacticoid",NA,"Copepoda","na",15.24,644.961488087347,245,9,0.0422075158362564,1,0.0422075158362564,3.66664777055765,0.154760093841786,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","64"
"NL64",2017-09-26,"Pseudodiaptomus","forbesi","Copepoda","na",15.24,644.961488087347,245,9,0.0422075158362564,61,2.57465846601164,1.89055165018874,4.86752481159071,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","64"
"NL64",2017-09-26,"Sinocalanus","doerri","Copepoda","na",15.24,644.961488087347,245,9,0.0422075158362564,21,0.886357832561385,4.60244502334998,4.07941319537942,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","64"
"NL64",2017-09-26,"nauplii",NA,"Copepoda","na",15.24,644.961488087347,245,9,0.0422075158362564,15,0.633112737543846,0.23173869773873,0.146716721320214,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","64"
"NL64",2017-09-26,"bdelloid",NA,"Rotifera","na",15.24,644.961488087347,245,9,0.0422075158362564,1,0.0422075158362564,0.0130512239,0.000550859739441779,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","64"
"NL64",2017-09-26,"Keratella","cochlearis","Rotifera","na",15.24,644.961488087347,245,9,0.0422075158362564,1,0.0422075158362564,0.0026724890786,0.000112799125107232,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","64"
"NL66",2017-09-26,"Diaphanosoma","brachyurum","Cladocera","na",15.24,689.441590714061,210,15,0.0203062887249086,7,0.14214402107436,1.49556672078994,0.212585867478077,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","66"
"NL66",2017-09-26,"calanoid","copepodid","Copepoda","na",15.24,689.441590714061,210,15,0.0203062887249086,116,2.3555294920894,1.7196713852715,4.05073666470926,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","66"
"NL66",2017-09-26,"Leptodiaptomus","siciloides","Copepoda","na",15.24,689.441590714061,210,15,0.0203062887249086,1,0.0203062887249086,2.85101868650459,0.057893608608272,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","66"
"NL66",2017-09-26,"Pseudodiaptomus","forbesi","Copepoda","na",15.24,689.441590714061,210,15,0.0203062887249086,53,1.07623330242016,3.20443588804446,3.44872061818376,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","66"
"NL66",2017-09-26,"Sinocalanus","doerri","Copepoda","na",15.24,689.441590714061,210,15,0.0203062887249086,8,0.162450309799269,6.06542813193719,0.985330679098398,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","66"
"NL66",2017-09-26,"nauplii",NA,"Copepoda","na",15.24,689.441590714061,210,15,0.0203062887249086,38,0.771638971546528,0.324770841696778,0.250605838275202,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","66"
"NL70",2017-09-26,"Diaphanosoma","brachyurum","Cladocera","na",15.24,689.441590714061,260,4,0.0942791976513615,23,2.16842154598131,1.51201212247881,3.27867966416798,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","70"
"NL70",2017-09-26,"calanoid","copepodid","Copepoda","na",15.24,689.441590714061,260,4,0.0942791976513615,117,11.0306661252093,2.09621513651667,23.1226492975254,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","70"
"NL70",2017-09-26,"Pseudodiaptomus","forbesi","Copepoda","na",15.24,689.441590714061,260,4,0.0942791976513615,36,3.39405111544901,3.75357678675707,12.7398314800164,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","70"
"NL70",2017-09-26,"Sinocalanus","doerri","Copepoda","na",15.24,689.441590714061,260,4,0.0942791976513615,7,0.65995438355953,5.05469958395797,3.3358711480096,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","70"
"NL70",2017-09-26,"nauplii",NA,"Copepoda","na",15.24,689.441590714061,260,4,0.0942791976513615,20,1.88558395302723,0.291446431619673,0.549546714629103,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","70"
"NL74",2017-09-26,"Bosmina","longirostris","Cladocera","na",15.24,667.201539400704,198,2,0.148380952611297,1,0.148380952611297,0.556982078185444,0.0826455313485758,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","74"
"NL74",2017-09-26,"Diaphanosoma","brachyurum","Cladocera","na",15.24,667.201539400704,198,2,0.148380952611297,38,5.63847619922927,2.65074594155119,14.9461679016399,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","74"
"NL74",2017-09-26,"calanoid","copepodid","Copepoda","na",15.24,667.201539400704,198,2,0.148380952611297,146,21.6636190812493,1.98055727810138,42.9060384413842,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","74"
"NL74",2017-09-26,"Leptodiaptomus","siciloides","Copepoda","na",15.24,667.201539400704,198,2,0.148380952611297,1,0.148380952611297,2.85101868650459,0.423036868616159,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","74"
"NL74",2017-09-26,"Pseudodiaptomus","forbesi","Copepoda","na",15.24,667.201539400704,198,2,0.148380952611297,17,2.52247619439204,3.06827581637166,7.73965270462633,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","74"
"NL74",2017-09-26,"Sinocalanus","doerri","Copepoda","na",15.24,667.201539400704,198,2,0.148380952611297,7,1.03866666827908,6.6122290883784,6.86790195712399,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","74"
"NL74",2017-09-26,"nauplii",NA,"Copepoda","na",15.24,667.201539400704,198,2,0.148380952611297,4,0.593523810445186,0.362633447981631,0.215231585840934,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","74"
"NL74",2017-09-26,"Conochiloides","spp.","Rotifera","na",15.24,667.201539400704,198,2,0.148380952611297,1,0.148380952611297,0.03132293736,0.00464772728406077,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","74"
"NL76",2017-09-26,"Bosmina","longirostris","Cladocera","na",15.24,711.681642027418,240,12,0.0281024531460789,16,0.449639250337262,0.934475104890425,0.420176685621765,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","76"
"NL76",2017-09-26,"Ceriodaphnia","spp.","Cladocera","na",15.24,711.681642027418,240,12,0.0281024531460789,5,0.140512265730394,1.96229601073821,0.275726658502541,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","76"
"NL76",2017-09-26,"Diaphanosoma","brachyurum","Cladocera","na",15.24,711.681642027418,240,12,0.0281024531460789,48,1.34891775101179,0.601102864131396,0.810838323610867,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","76"
"NL76",2017-09-26,"calanoid","copepodid","Copepoda","na",15.24,711.681642027418,240,12,0.0281024531460789,113,3.17557720550692,1.68386368272393,5.34723912803905,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","76"
"NL76",2017-09-26,"cyclopoid","copepodid","Copepoda","na",15.24,711.681642027418,240,12,0.0281024531460789,10,0.281024531460789,0.784680593024595,0.220514496001111,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","76"
"NL76",2017-09-26,"Leptodiaptomus","siciloides","Copepoda","na",15.24,711.681642027418,240,12,0.0281024531460789,2,0.0562049062921578,2.52256374400659,0.141780458847885,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","76"
"NL76",2017-09-26,"Pseudodiaptomus","forbesi","Copepoda","na",15.24,711.681642027418,240,12,0.0281024531460789,4,0.112409812584316,2.33684289675491,0.262684072063209,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","76"
"NL76",2017-09-26,"Sinocalanus","doerri","Copepoda","na",15.24,711.681642027418,240,12,0.0281024531460789,1,0.0281024531460789,2.9195870957648,0.0820475595646267,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","76"
"NL76",2017-09-26,"nauplii",NA,"Copepoda","na",15.24,711.681642027418,240,12,0.0281024531460789,30,0.843073594382367,0.213798690700636,0.180248030643229,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","76"
"NL76",2017-09-26,"Asplanchna","spp.","Rotifera","na",15.24,711.681642027418,240,12,0.0281024531460789,1,0.0281024531460789,0.5631572994641,0.0158261016220622,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","76"
"NL76",2017-09-26,"Conochiloides","spp.","Rotifera","na",15.24,711.681642027418,240,12,0.0281024531460789,4,0.112409812584316,0.016705566592,0.00187786960972152,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","76"
"NL76",2017-09-26,"Conochilus","spp.","Rotifera","na",15.24,711.681642027418,240,12,0.0281024531460789,29,0.814971141236288,0.00405458022493334,0.00330436587314801,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","76"
"NL76",2017-09-26,"Polyarthra","vulgaris","Rotifera","na",15.24,711.681642027418,240,12,0.0281024531460789,1,0.0281024531460789,0.0204924294036,0.000575887537163999,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","76"
"NL84",2017-09-26,"Bosmina","longirostris","Cladocera","na",15.24,711.681642027418,265,6,0.0620595840309242,11,0.682655424340167,0.812342578038487,0.554550067320448,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","84"
"NL84",2017-09-26,"Ceriodaphnia","spp.","Cladocera","na",15.24,711.681642027418,265,6,0.0620595840309242,12,0.744715008371091,0.656508196334263,0.488911506928761,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","84"
"NL84",2017-09-26,"Diaphanosoma","brachyurum","Cladocera","na",15.24,711.681642027418,265,6,0.0620595840309242,15,0.930893760463864,0.201532894894817,0.187605714385805,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","84"
"NL84",2017-09-26,"calanoid","copepodid","Copepoda","na",15.24,711.681642027418,265,6,0.0620595840309242,86,5.33712422665948,1.28778409237451,6.87306367811869,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","84"
"NL84",2017-09-26,"cyclopoid","copepodid","Copepoda","na",15.24,711.681642027418,265,6,0.0620595840309242,29,1.7997279368968,0.895518428580444,1.61168953392215,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","84"
"NL84",2017-09-26,"Pseudodiaptomus","forbesi","Copepoda","na",15.24,711.681642027418,265,6,0.0620595840309242,3,0.186178752092773,2.2768013450754,0.423892033189285,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","84"
"NL84",2017-09-26,"Sinocalanus","doerri","Copepoda","na",15.24,711.681642027418,265,6,0.0620595840309242,5,0.310297920154621,5.64800950702626,1.75256560304377,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","84"
"NL84",2017-09-26,"nauplii",NA,"Copepoda","na",15.24,711.681642027418,265,6,0.0620595840309242,21,1.30325126464941,0.274661210417779,0.357952569827108,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","84"
"NL84",2017-09-26,"Asplanchna","spp.","Rotifera","na",15.24,711.681642027418,265,6,0.0620595840309242,1,0.0620595840309242,2.5536386101248,0.158477749909653,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","84"
"NL84",2017-09-26,"Conochiloides","sp.","Rotifera","na",15.24,711.681642027418,265,6,0.0620595840309242,3,0.186178752092773,0.0274858775334,0.00511728637934319,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","84"
"NL84",2017-09-26,"Conochilus","unicornis","Rotifera","na",15.24,711.681642027418,265,6,0.0620595840309242,23,1.42737043271126,0.00468103897213333,0.00668157662319222,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","84"
"West Sac",2017-09-26,"Bosmina","longirostris","Cladocera","na",15.24,200.160461820211,233,1,1.16406605920647,129,150.164521637634,0.779260987377876,117.017353400469,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","WSP"
"West Sac",2017-09-26,"Ceriodaphnia","spp.","Cladocera","na",15.24,200.160461820211,233,1,1.16406605920647,159,185.086503413828,0.860190092968102,159.209576578682,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","WSP"
"West Sac",2017-09-26,"Diaphanosoma","brachyurum","Cladocera","na",15.24,200.160461820211,233,1,1.16406605920647,18,20.9531890657164,0.140674241314906,2.94757397494744,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","WSP"
"West Sac",2017-09-26,"calanoid","copepodid","Copepoda","na",15.24,200.160461820211,233,1,1.16406605920647,1,1.16406605920647,1.19580590477603,1.39199706714845,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","WSP"
"West Sac",2017-09-26,"cyclopoid","copepodid","Copepoda","na",15.24,200.160461820211,233,1,1.16406605920647,58,67.5158314339752,0.930173357747126,62.8014276260296,"20190115 - UC DAVIS - SACRAMENTO ZOOPS - SEP 2017 - FINAL.xlsx","WSP"
